No,Nama tempat,kabupaten kota,kategori,latitude,longitude,Fasilitas,rating,Foto
199,Pantai Pulau Tembikil,Pesawaran,wisata alam,"-5,81899565","105,3429871","Parkir, Toilet, Mushola, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-nnDFhXqH-Xz7a51VAeQjloeNN38H14zdFQ&s
200,Pantai Putri Distian Mutun,Pesawaran,wisata alam,"-5,5095584","105,2568023","Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg5aT7KUtQt_dIysuBVuiSM-Y4NbzwH5ePBg&s
201,Pantai Sari Ringgung,Pesawaran,wisata alam,"-5,82853425","105,2652327","Parkir, Toilet, Mushola, Restoran",4.2,https://awsimages.detik.net.id/community/media/visual/2020/06/22/pantai-sari-ringgung-1.jpeg?w=600&q=90
202,PUNGKI PARK,Pesawaran,wisata buatan,"-5,366025605","105,2035967","Parkir, Toilet, Mushola, Restoran",4.5,https://cdn.rri.co.id/berita/27/images/1703227528511-0/aweuhqy17y71xx3.avif
203,Saung Djunjungan,Pesawaran,wisata buatan,-5.3575044,105.1842525,"Parkir, Toilet, Mushola, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU8Lqh_4C7pR4QQE3OCHo6mbREZRv4d1qvCQ&s
204,Sungai Kali Bronjong,Pesawaran,wisata alam,"-5,3886773","105,1540168","Parkir, Toilet, Mushola, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSp9he9LSSUYMDu2y3xwQD6UfYDPGGOiCG7pg&s
205,Taman Bukit Raya,Pesawaran,wisata alam,-5.33490481,105.0615413,"Parkir, Toilet, Mushola, Restoran",4\.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiDOML1c0dLqo5uFlP2ZcckQVAJWCsE7Xp-A&s
206,WATERBOOM W&W,Pesawaran,wisata buatan,"-4,9373689","105,7283403","Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDDT3ANSQEEidJsUqTrVWFkNh9KaF8Jc71Uw&s
207,WISATA ALAM PUNGGUNG NAGA,Pesawaran,wisata alam,"-5,257727101","105,1768654","Parkir, Toilet, Mushola, Restoran",4.6,https://kelilinglampung.net/wp-content/uploads/2021/02/Foto-Gambar-Wisata-Puncak-Punggung-Naga-Sukmoilang-Pesawaran-Indah-kelilinglampung.net-3.jpg
208,WISATA ALAM WAY MIOS,Pesawaran,wisata alam,"-5,5828471","105,0499274","Parkir, Toilet, Mushola, Restoran",4.5,https://radarlampung.disway.id/upload/134b8d0d7760f9cc3809136d3732e91d.jpg
209,Youth Camp Tahura,Pesawaran,wisata alam,-5.412418,105.1869457,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH3Ln6J0XRWgRJpwTa1h3HJ2-PyvTA1tMXVQ&s
210,1&2 Bee Free,Pesisir Barat,wisata alam,-5.304808,103.998520,"Parkir, Toilet, Restoran",5,https://sisparnas.kemenpar.go.id/imgdata/998901.jpg
211,Kawasan Wisata Labuhan Jukung,Pesisir Barat,wisata alam,-5.1900074,103.9316644,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9YG-guzpF2PcESYRcRd20g8Mjkgu2CkgOAw&s
212,Kedai Ram T. setia,Pesisir Barat,wisata alam,-5.3155212,103.994593,"Parkir, Toilet, Mushola, Restoran",5,https://sisparnas.kemenpar.go.id/imgdata/638060.jpg
213,Objek WIsata Goa Matu,Pesisir Barat,wisata alam,-5.121839,103.9018393,"Parkir, Toilet, Mushola, Restoran",4,https://www.kupastuntas.co/uploads/posts/mengenal-objek-wisata-religi-gua-matu-pesibar-lamp_20210821081224.jpg
214,Pantai Mandiri,Pesisir Barat,wisata alam,-5.24841187,103.9715979,"Parkir, Toilet, Mushola, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlQqOsBnDYQFYTCz0hRz2gO-wLy3oEHd30SA&s
215,Mirau Malaya Stone,Pesisir Barat,wisata alam,-4.9685267,103.7178197,"Parkir, Toilet, Mushola, Restoran",4.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtIKYibDNUavXBCfbJ0mm6qd0M3a6YZbCOCQ&s
216,Pantai Batu Tihang,Pesisir Barat,wisata alam,-5.0507147,103.8151774,"Parkir, Toilet, Mushola, Restoran",4.6,https://upload.wikimedia.org/wikipedia/commons/8/85/Pantai_Batu_Tihang.jpg
217,Pantai Hanibung,Pesisir Barat,wisata alam,-5.1828726,103.96570008,"Parkir, Toilet, Mushola, Restoran",5,https://sisparnas.com/imgdata/515051.jpg
218,Pantai Pesisir Way Sindi,Pesisir Barat,wisata alam,-5.12867546,103.91258353,"Parkir, Toilet, Mushola, Restoran",4.3,https://image.idn.media/post/20231230/snapinstaapp-64715641-2325103500901637-2064988219624651476-n-1080-1c073b248264dac7c148c63236d19fbf-aaf046235fcfa8b2075abaf6bb68b431.jpg
219,Pantai Krui,Pesisir Barat,wisata alam,-5.05746149, 103.9202627,"Parkir, Toilet, Mushola, Restoran",4.6,https://www.backpackerlampung.com/wp-content/uploads/2023/02/paket-pulau-pisang-lampung.jpg
220,Kedai Kubu Giom,Pesisir Barat,wisata alam,-5.247941,103.9652244,"Parkir, Toilet, Mushola, Restoran",5,https://sisparnas.kemenparekraf.go.id/imgdata/999011.jpg
221,Pantai Labuhan Bakhu,Pesisir Barat,wisata alam,-5.43607120,104.1104754,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSj1r9Xdl45gMWETc5YdXS6dDvlUClkCHyMCg&s
222,Pantai Pasir Putih,Pesisir Barat,wisata alam,-5.11515539,104.0490675,"Parkir, Toilet, Mushola, Restoran",4.8,https://asset.kompas.com/crops/44I0kGCG-OgImLqXL2j-2GliEUI=/5x0:773x512/1200x800/data/photo/2022/01/09/61daccbb4eb3e.png
223,Pantai Penaga Resort,Pesisir Barat,wisata alam,"-5,0677943","103,9327175","Parkir, Toilet, Mushola, Restoran",5,https://sisparnas.com/imgdata/638171.jpg
224,Pantai Ilahan,Pesisir Barat,wisata alam,-5.2329741,103.9093314,"Parkir, Toilet, Mushola, Restoran",4.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRn4ZtLbCL4h2JW3oaazzwBmhvFSbF8wB--bQ&s
225,BMJ,Pringsewu,wisata alam,"-5,3811852","105,0533986","Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0HVitvBrM8QWvk55Mwic2UZ9gltDvFbaQ6A&s
